Zee TV HD,95,Hindi,GEC,224.2.2.23,239.11.11.10,1236,10140,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_TV_HD/Zee_TV_HD.m3u8,,,,,,,,,,
Zee Zest HD,96,English,Infotainment,224.2.2.23,239.11.11.10,1242,10182,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Zest_HD/Zee_Zest_HD.m3u8,,,,,,,,,,
ANDxplor HD,97,Hindi,Movies,224.2.2.21,239.11.11.11,1244,10375,FALSE,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/ANDxplor_HD/ANDxplor_HD.m3u8,,,,,,,,,,
Star Plus,100,Hindi,Entertainment,224.2.2.17,239.11.11.10,1240,10001,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Star_Plus/Star_Plus.m3u8,,,,,,,,,,
MTV Beats HD,203,Hindi,Music,224.2.2.12,239.11.11.13,1234,10017,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/MTV_Beats_HD/MTV_Beats_HD.m3u8,,,,,,,,,,restarted workin
Discovery Kids,141,Hindi,Kids,224.2.2.16,239.11.11.11,1240,10074,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Discovery_Kids/Discovery_Kids.m3u8,,,,,,,,,,working 
01 News 24,241,Hindi,News,224.2.2.4,239.11.11.15,3244,10110,,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/01_News_24/01_News_24.m3u8,,,,,,,,,,working 
05 JKL 24x7 News,242,Hindi,News,224.2.2.4,239.11.11.15,3232,10079,,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/05_JKL_24x7_News/05_JKL_24x7_News.m3u8,,,,,,,,,,
Aastha Telugu,449,Telugu,Entertainment,224.2.2.3,239.11.11.16,3172,15010,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/Aastha_Telugu/Aastha_Telugu.m3u8,,,,,,,,,,working
Asianet Suvarna News,653,Kannada,News,224.2.2.5,239.11.11.15,3284,10358,FALSE,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/Asianet_Suvarna_News/Asianet_Suvarna_News.m3u8,,,,,,,,,,working
CNBC Awaaz,227,Hindi,News,224.2.2.43,239.11.11.10,3004,10134,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/CNBC_Awaaz/CNBC_Awaaz.m3u8,,,,,,,,,,working
